comment-id,timestamp,datetime,author-id,agrees,disagrees,moderated,comment-body,x,y,group_0,group_1
553,1518307230328,Sun Feb 11 07:00:30 WIB 2018,1050,1,0,-1,Water safety and swim lessons to all k-12 students as part of with opportunity for nonswimming parent/guardian in private setting for adults,-2.5945986130178422,-0.8749048700493818,1.342391572655373,0.002251095608376573
552,1518307007492,Sun Feb 11 06:56:47 WIB 2018,1050,12,25,1,Building codes prohibiting trophy houses next to common housing,-2.5596181141200858,-0.8093944058775289,0.7586825374195503,0.1835057238260444
551,1518306764265,Sun Feb 11 06:52:44 WIB 2018,1050,23,22,1,We  a true junior college which offers credit / non credit courses like many other states from basket weaving to cyber security,-2.5576301462484965,-0.8255172048731222,1.0188679245286563,8.952418311991287e-12
550,1518306584712,Sun Feb 11 06:49:44 WIB 2018,1045,66,29,1,Greenwood Mall parking lot could become a cooperative solar collection for itself and home surrounding,-2.594242037213832,-0.8749398302649957,1.156547614651666,1.0830913710021214e-07
549,1518306492066,Sun Feb 11 06:48:12 WIB 2018,1053,1,0,-1,More street trees to provide shade on hot summer days would improve the walkability of downtown. Passersby = potential customers,-2.5480176521235265,-0.8465424087526068,0.9957291035427767,3.0216607131730283e-05
548,1518306378752,Sun Feb 11 06:46:18 WIB 2018,1045,78,40,1,We need a 6 day a week farmer's market that is open at least 5 hours -,-2.5398521022684806,-0.8295696715811942,0.9566470451912303,0.22817846063791694
547,1518306334784,Sun Feb 11 06:45:34 WIB 2018,1053,42,45,1,"Legalizing marijuana at the state level could produce substantial tax revenue, but if only BG did, it would cause problems.",-2.5751599530498486,-0.8772435904693234,0.5156830540949079,0.16009131514498082
546,1518306164777,Sun Feb 11 06:42:44 WIB 2018,1050,101,24,1,Connect business parking lots to reduce unnecessary traffic on main roadways,-2.5947156426470688,-0.8748050710056083,1.3598725639395293,0.0037749850414685138
545,1518306151319,Sun Feb 11 06:42:31 WIB 2018,1053,133,15,1,"Higher education is intended to help young people develop into informed, well-rounded citizens who contribute positively to society.",-2.58650272258578,-0.8932237688977989,1.5655101647508316,0.0025513351774745408
541,1518306030273,Sun Feb 11 06:40:30 WIB 2018,1053,47,40,1,Animated digital business signs are a road hazard. They distract drivers.,-2.5947156426470688,-0.8748050710056083,0.004670680366028675,0.17812000295799707
